469937,Wrap Around Patio With City Lights & Mountain View,33.791858,-118.161654,"Signal Hill, CA, USA",15,4.9,96,,,,195,,30,3,1,1,condo,Yes,2013,Within 12 hours,100%,"June 7, 2017",condo,2,750,state,building,Long Beach
468638,"Incredible Ocean Views from most rooms, On the Canal, Naples Island, California",33.7540526,-118.1264142,"Naples Island, Long Beach, CA, USA",1,,637,625,,,200,,3,9,3,3,house,Yes,2013,Within a few hours,100%,"June 7, 2017",house,,2100,9,,Long Beach,CA
624047,Fabulous Garden Flat With Wash/Dry,33.7681966,-118.1802744,"Alamitos Beach, Long Beach, CA, USA",6,,119,109,119,,,5.0%,1,6,1,1,apartment,Yes,2014,Within an hour,90%,"June 9, 2017",apartment,1,925,6,building,Long Beach,CA
952415,Home away from Home in trendy Long Beach neighborhood,33.8198929,-118.1793519,"Cal Heights, Long Beach, CA, USA",1,,99,99,110,,120,9.0%,3,4,2,1,house,Yes,2016,Within 12 hours,100%,"June 9, 2017",house,,980,4,,Long Beach,CA
962099,Peninsula Home Steps to Beach,33.747714,-118.122333,"Peninsula, Long Beach, CA, USA",0,,201,200,,,100,,3,3,1,1,apartment,Yes,2010,,,"June 8, 2017",apartment,,520,3,house,Long Beach,CA
4546715ha,"4 Blocks to Beach New Spanish Mansion Sleeps 12 Comfortably, 8 Bedrooms, 9 Beds",33.7672406,-118.1455927,"Belmont Heights, Long Beach, CA, USA",0,,585,585,,,350,,4,12,8,5,house,Yes,2015,Within 12 hours,100%,"June 2, 2017",house,,4500,,,Long Beach,CA
1081996,Summer In The Center Of Belmont Shore!,33.7570847,-118.1379308,"Belmont Shore, Long Beach, CA, USA",0,,179,189,,,75,10.0%,4,6,2,1,apartment,Yes,2017,Within 12 hours,100%,"June 5, 2017",apartment,2,,,building,Long Beach,CA
7020137ha,Beach Retreat,33.749788,-118.12613,"Peninsula, Long Beach, CA, USA",1,,295,295,325,,195,,4,7,3,2,bungalow,Yes,2008,Within a day,100%,"June 8, 2017",bungalow,,800,7,,Long Beach,CA
659739,Oceanview three-story townhouse,33.7590848,-118.144297,"Belmont Shore, Long Beach, CA, USA",6,4.7,282,262,289,,200,,7,6,2,3,townhome,Yes,2014,Within an hour,100%,"June 7, 2017",townhome,,25,6,house,Long Beach,CA
4147105ha,Adorable Beach Bungalow,33.7584182,-118.1338091,"Belmont Shore, Long Beach, CA, USA",0,,235,235,,,150,,3,6,3,1,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,1000,6,,Long Beach,CA
961912,Wonderful Mid Century Modern Home,,,"Lakewood Village, Long Beach, CA, USA",1,,255,255,,,225,,3,8,4,2,house,Yes,2016,Within 12 hours,100%,"June 4, 2017",house,,2400,8,,Long Beach,CA
3705457ha,"Southern California Getaway, Perfect For Families On A Budget",33.80927,-118.197742,"Wrigley, Long Beach, CA, USA",7,4.7,229,250,,,,,3,6,3,1,house,Yes,2014,Within a few hours,100%,"June 5, 2017",house,,1500,6,,Long Beach,CA
860699,Beach Cottage In The Heart Of Naples Island,33.7566732,-118.1262946,"Naples Island, Long Beach, CA, USA",3,,275,250,275,,150,,3,4,2,1,house,Yes,2016,Within 12 hours,100%,"June 3, 2017",house,,1200,4,,Long Beach,CA
924788,Beach & Bayfront in Belmont Shore – Bay-View BBQ Patio – 30 Day+ Rentals,33.7556976,-118.132036,"Belmont Shore, Long Beach, CA, USA",2,,245,,,,,,3,4,2,1,house,Yes,2006,Within an hour,,"June 9, 2017",house,,1000,4,,Long Beach,CA
4337439ha,"Bright And New Upscale Large Studio Close To Beaches, Belmont Shore Activities",33.7711071,-118.1413171,"Belmont Heights, Long Beach, CA, USA",6,,114,125,,,65,,3,4,1,1,studio,Yes,2000,Within a few days,70%,"June 9, 2017",studio,1,330,4,house,Long Beach,CA
4470128ha,"25% OFF OPEN JUNE-Penthouse Suite,Panoramic Ocean Views,Sauna Roof +Top Deck",33.755027,-118.134723,"Belmont Shore, Long Beach, CA, USA",0,,413,,,,,,3,10,4,2,condo,Yes,2005,Within an hour,,"June 9, 2017",condo,,,10,,Long Beach,CA
298016,This is Real California Living - Private and Comfortable!,33.81324387,-118.0949707,"Rancho Estates, Long Beach, CA, USA",25,,164,,,,125,,7,5,2,2,house,Yes,2010,Within 12 hours,100%,"June 6, 2017",house,,1300,5,,Long Beach,CA
1035093,The Beach Retreat:  Private One Bedroom & One Bath A Block From The Beach!,33.763564,-118.154303,"Bluff Park, Long Beach, CA, USA",0,,75,75,,,65,9.75%,2,2,1,1,apartment,Yes,2017,Within a day,100%,"June 7, 2017",apartment,1,,,building,Long Beach,CA
855410,Walk to Beach and Bay in fam friendly area near all Los Angeles attractions,33.7559347,-118.135031,"Belmont Shore, Long Beach, CA, USA",3,4.7,325,325,,,,,7,7,3,2,cottage,Yes,2016,Within 12 hours,100%,"March 20, 2017",cottage,,,7,,Long Beach,CA
4225606ha,"Convention center, and CourtHouse  in walking Distance, the pike, Down Town.",33.772018,-118.201608,"Willmore, Long Beach, CA, USA",2,,125,120,,,85,12.0%,3,5,1,1,apartment,Yes,2010,Within a few hours,100%,"June 8, 2017",apartment,1,600,5,,Long Beach,CA
871446,Cozy Boat at Shoreline Village,33.76133924,-118.19167785,"Waterfront, Long Beach, CA, USA",1,,128,128,143,,,,2,4,1,1,boat,Yes,2016,Within 12 hours,100%,"May 19, 2017",boat,,,4,,Long Beach,CA
353719,"Mi Casa Es Tu Casa .. in Long Beach, California !",33.75008774,-118.12505341,"Peninsula, Long Beach, CA, USA",34,4.8,140,140,,,,,2,4,1,1,apartment,Yes,2011,Within a few days,80%,"June 8, 2017",apartment,2,900,4,,Long Beach,CA
797388,Beautiful Remodeled House,33.790656,-118.164117,"Signal Hill, CA, USA",5,2.2,165,,,,,,31,6,3,2,house,Yes,2015,Within a few days,100%,"May 10, 2017",house,,,6,,Long Beach,CA
992005,"Long Beach Condo close to Downtown, Beach & Disneyland",,,"Zaferia, Long Beach, CA, USA",1,,175,175,,,100,9.75%,3,4,2,2,condo,Yes,2017,Within 2 days,100%,"June 9, 2017",condo,2,800,,building,Long Beach,CA
976770,Welcome to Naples Island! Join the community!,,,"Naples Island, Long Beach, CA, USA",0,,88,,,,100,,30,4,1,1,condo,No,2016,Within a few days,70%,"April 19, 2017",condo,,,,,Long Beach,CA
641429,"Views, location, luxury accommodations, right on the sand",33.764931,-118.175569,"Alamitos Beach, Long Beach, CA, USA",1,,150,,,,150,,30,4,2,2,condo,Yes,2014,Within a day,100%,"April 26, 2017",condo,,1550,4,,Long Beach,CA
1032650,Large House In Quiet Neighborhood,,,"Cal Heights, Long Beach, CA, USA",0,,185,185,,,150,,2,6,3,2,house,No,2017,Within a day,100%,"June 7, 2017",house,,,,,Long Beach,CA
4251833ha,Luxury 1 bed pool,33.7652913,-118.1945085,"Waterfront, Long Beach, CA, USA",0,,,,,,,,10,3,1,1,apartment,Yes,2014,Within a day,,"June 9, 2017",apartment,,,3,,Long Beach,CA
283281,Budget-Friendly Beach Cottage,33.74620819,-118.11946106,"Peninsula, Long Beach, CA, USA",15,4.8,93,100,,,,,5,2,Studio,1,studio,Yes,2010,Within a few days,50%,"November 28, 2016",studio,1,,2,,Long Beach,CA
4519332ha,5 Min Walk To The Ocean * * Parking For 2 * 31 DAY MINIMUM STAY *  W&D in Unit,33.76699578,-118.18025946,"Alamitos Beach, Long Beach, CA, USA",0,,110,110,,,75,,30,4,1,1,condo,Yes,2017,Within a few hours,100%,"May 24, 2017",condo,2,740,,building,Long Beach,CA
713480,Gorgeous hip loft on Pine avenue central to everything!,33.77278102,-118.19196807,"North Pine, Long Beach, CA, USA",0,,,,,,150,,30,2,1,1,apartment,No,2015,Within a few days,10%,"May 5, 2017",apartment,,,2,,Long Beach,CA
758494,Ocean View Condo Walking Distance to Restaurants and Cocktail Lounges,33.764264,-118.17054364,"Alamitos Beach, Long Beach, CA, USA",0,,197,,,,,,30,4,2,2,condo,Yes,2015,Within 12 hours,100%,"May 26, 2017",condo,,,4,,Long Beach,CA
3935913ha,"Grand Prix From Your Windows, Corner Condo On The Water With 200* Ocean View :)",33.76494697,-118.1852169,"Waterfront, Long Beach, CA, USA",0,,465,280,320,,250,13.0%,5,6,2,2,apartment,No,2017,,,"June 7, 2017",apartment,,,6,,Long Beach,CA
1078160,"Spend your summer on Naples Island, steps to the sand - 3 BR, 3 BA Beach Home",33.7544777,-118.118188,"Naples Island, Long Beach, CA, USA",0,,300,300,,,,,14,6,3,3,house,Yes,2017,,,"May 31, 2017",house,,2600,,,Long Beach,CA
1054171,Downtown Long Beach home - Close to everything!,,,"Willmore, Long Beach, CA, USA",0,,399,399,,,195,,2,4,2,1,house,No,2016,,,"June 7, 2017",house,,,,,Long Beach,CA
4532154ha,Ocean views condo in Long Beach,,,"Waterfront, Long Beach, CA, USA",0,,199,199,,,100,,30,4,2,2,condo,No,2017,,,"May 18, 2017",condo,,,,,Long Beach,CA
3550876ha,Spacious 2BR Condo in Downtown Long Beach - 1 Mile to the Beach,33.77612567,-118.196824,"Willmore, Long Beach, CA, USA",3,,188,,,,,,3,6,2,1,condo,Yes,1999,Within an hour,,"June 9, 2017",condo,,,6,,Long Beach,CA
1073902,Romantic Spanish Revival House,,,"Belmont Shore, Long Beach, CA, USA",0,,495,495,,,100,,2,6,3,2,house,No,2017,,,"June 2, 2017",house,,,,,Long Beach,CA
402335,Spectacularly Lush and Secluded Estate with Breathtaking Views,33.83306885,-118.19976807,"Los Cerritos, Long Beach, CA, USA",0,,714,833,,,200,,3,14,3,3,estate,Yes,2012,Within a few days,60%,"May 30, 2017",estate,,3000,14,,Long Beach,CA
3916408ha,"Centrally Located, Remodeled, Fully Equipped",33.7689315,-118.1861845,"East Village, Long Beach, CA, USA",2,,100,,,,,,30,2,2,2,condo,Yes,2015,Within a day,100%,"November 18, 2016",condo,4,1200,2,building,Long Beach,CA
3849536ha,"Inviting & Modern 1BR Long Beach Apartment w/Wifi & Recently Renovated Interior - Close to Restaurants, Museums & Major Attractions!",33.776,-118.175,"Hellman Street, Long Beach, CA, USA",1,,131,,,,,,3,4,1,1,apartment,Yes,1999,Within an hour,,"June 9, 2017",apartment,,602,4,,Long Beach,CA
3642331ha,Recently Renovated 2BR Condo * 3 Miles from Downtown Long Beach *,33.790967,-118.203177,"Wrigley, Long Beach, CA, USA",1,,183,,,,,,3,7,2,2,condo,Yes,1999,Within an hour,,"June 9, 2017",condo,,,7,,Long Beach,CA
689933,"On theWater, beautiful Ocean View from Sunrise to Sunsset, next2 Convention CTR!",33.76563195,-118.18487357,"Waterfront, Long Beach, CA, USA",2,4.5,476,420,,,,13.0%,5,6,2,2,apartment,Yes,2015,Within a day,100%,"May 30, 2017",apartment,15,1800,6,building,Long Beach,CA
117041ha,Long Beach Condo facing Beach,33.759339,-118.147489,"Belmont Shore, Long Beach, CA, USA",1,,96,,,,100,,30,5,1,1,condo,Yes,2004,Within a few days,70%,"May 3, 2017",condo,2,700,5,,Long Beach,CA
994658ha,For the Economically Conscious: A Guest House with Your Comfort in Mind,33.820899,-118.183454,"Cal Heights, Long Beach, CA, USA",47,4.8,82,85,,,,,2,3,Studio,1,studio,Yes,2012,Within a day,100%,"June 5, 2017",studio,,325,3,cottage,Long Beach,CA
559238,Great Duplex Luxury Property Just Listed!!!,33.783365,-118.1457,"Circle Area, Long Beach, CA, USA",6,,171,220,,,150,,3,4,2,1,townhome,Yes,2009,Within a few days,90%,"May 30, 2017",townhome,,1200,4,building,Long Beach,CA
616141,Charming Spanish Style home in Belmont Shore,33.760696,-118.131529,"Belmont Shore, Long Beach, CA, USA",0,,,200,,,,,6,6,2,2,house,Yes,2014,,0%,"August 17, 2014",house,,,6,,Long Beach,CA
4433700ha,BIG Loft 12ft Ceilings+ View! Slp 4,,,"North Pine, Long Beach, CA, USA",0,,135,135,,,165,10.0%,30,4,2,1,condo,No,2015,Within a few days,80%,"March 26, 2017",condo,,,,,Long Beach,CA
4512005ha,Lovely quiet backhouse! Perfect vacation spot for enjoying all SoCal sites.,,,"Circle Area, Long Beach, CA, USA",0,,103,120,,,100,,3,4,1,2,cottage,No,2017,Within an hour,100%,"June 7, 2017",cottage,,500,,,Long Beach,CA
1095986,"Completely Private Studio Apartment, Steps from the Beach",33.76091391,-118.14643123,"Belmont Heights, Long Beach, CA, USA",0,,104,,,,,,2,4,Studio,1,apartment,Yes,2006,Within an hour,,"June 9, 2017",apartment,,,4,,Long Beach,CA
4082144ha,Top Floor Condo 1.5 Mi From The Beach,33.6669934,-117.9876226,"Huntington Beach, CA, USA",6,4.7,80,,,,,,90,4,1,1,studio,Yes,2016,Within an hour,90%,"May 20, 2017",studio,4,580,,,Long Beach,CA
479098,Quiet Family Friendly 2bd Condo + Pool an easy Walk To Beach or Newport Pier,33.624333,-117.9332623,"Newport Beach, CA, USA",16,4.9,104,,,,100,,31,5,2,2,condo,Yes,2013,Within an hour,100%,"June 1, 2017",condo,3,1350,5,,Long Beach,CA
4174824ha,Great Entertainment Vacation Home; Great Summer 2017 Discount - 15-25% OFF,,,"Garden Grove, CA, USA",15,4.1,257,270,290,,,15.0%,2,18,5,3,house,Yes,2016,Within 12 hours,100%,"June 4, 2017",house,,2300,18,,Long Beach,CA
3962028ha,CLOSEST WALK TO DISNEY- POOLS & SPA - Elegantly Remodeled,33.81221399,-117.92986532,"Hermosa Village, Anaheim, CA, USA",24,4.8,249,209,,,170,15.0%,3,9,3,2,townhome,Yes,2011,Within a few hours,100%,"June 7, 2017",townhome,,1200,9,,Long Beach,CA
496542,DELUXE VACATION HOME-POOL+ WALK TO DISNEYLAND & CONVENTION CENTER+2 CAR GARAGE,33.7969916,-117.9228216,"Convention Center, Anaheim, CA, USA",152,4.8,204,170,,,160,15.0%,3,9,3,2,townhome,Yes,2013,Within an hour,100%,"June 8, 2017",townhome,,1440,9,,Long Beach,CA
913956ha,"Modern Vacation Rental, 5 Minute Walk to Disneyland",33.813652,-117.929606,"Hermosa Village, Anaheim, CA, USA",93,4.9,195,195,,,125,15.0%,3,7,2,2,condo,Yes,2010,Within a day,90%,"June 8, 2017",condo,,1000,7,,Long Beach,CA
3972773ha,"New remodel House,Cozy 1000 sqft private Pool, Accom 3 Families",33.813776,-117.958013,"Southwest Anaheim, Anaheim, CA, USA",43,4.9,219,259,,,,15.0%,3,11,3,3,house,Yes,2015,Within an hour,100%,"June 8, 2017",house,,2000,11,,Long Beach,CA
804575,"Walk To Disneyland & Anaheim Covention Perfect Locale; Fun Clean Stylish,modern",33.801335,-117.92553,"Convention Center, Anaheim, CA, USA",26,4.2,250,250,,,250,15.0%,3,11,4,2,house,Yes,2013,Within a day,90%,"June 8, 2017",house,,2400,,,Long Beach,CA
866351,"SALE! $129/nt for Jun/Jul!  Luxury by Disney! Free parking/strollers, hot tub!",33.81369374,-117.92945763,"Hermosa Village, Anaheim, CA, USA",35,4.9,219,219,,,150,15.0%,3,7,2,2,townhome,Yes,2004,Within an hour,100%,"June 8, 2017",townhome,1,1000,7,building,Long Beach,CA
626473,"New Listing! Gorgeous Remodeled Home, Walk To Disneyland, Mickey Pool/hot tub!",33.797509,-117.920308,"Anaheim Resort, Anaheim, CA, USA",57,4.7,210,190,,,160,15.0%,3,9,3,1,townhome,Yes,2013,Within a few hours,100%,"June 8, 2017",townhome,1,1200,9,,Long Beach,CA
620598,"JUNE $129!! Closest to Disney! Clean. Kids Gear, Pool, Playground, Strollers",33.81260621,-117.92853495,"Southwest Anaheim, Anaheim, CA, USA",84,4.9,129,177,,,,15.0%,3,7,2,2,townhome,Yes,2014,Within 12 hours,100%,"June 9, 2017",townhome,,1000,7,,Long Beach,CA
3665120ha,Walk to Disneyland- Private Gated Pool,33.809114,-117.933321,"Hermosa Village, Anaheim, CA, USA",79,4.7,269,249,,,180,15.0%,3,9,3,2,house,Yes,2011,Within a day,100%,"June 6, 2017",house,,1500,9,,Long Beach,CA
3958094ha,"Disney Magic Dream House, a short walk to the Disneyland+Pool!",33.81284058,-117.92875885,"Hermosa Village, Anaheim, CA, USA",55,4.8,179,199,,,125,15.0%,3,7,2,1,townhome,Yes,2015,Within a few hours,100%,"June 8, 2017",townhome,,932,7,building,Long Beach,CA
598304,New Remodeled House - Less Than 2 Miles to Disneyland * SPECIAL PRICE *,33.808545,-117.948876,"Southwest Anaheim, Anaheim, CA, USA",108,4.9,191,199,,,120,15.0%,3,9,3,2,house,Yes,2014,Within a few hours,100%,"June 9, 2017",house,,,,,Long Beach,CA
3718523ha,Walk To Disneyland! *Brand New Remodel Modern Style Home*,33.801532,-117.936275,"Southwest Anaheim, Anaheim, CA, USA",125,4.9,200,,,,140,15.0%,3,11,4,3,house,Yes,2014,Within a few hours,100%,"June 9, 2017",house,,1700,11,,Long Beach,CA
373185ha,"StorybookVilla #1 Warm & Inviting, You Walk to Disney, 100+ Reviews",33.813355,-117.929519,"Hermosa Village, Anaheim, CA, USA",59,4.8,229,199,,,150,15.0%,3,9,3,2,townhome,Yes,2011,Within a day,100%,"June 8, 2017",townhome,,1200,9,,Long Beach,CA
484485,"Monthly+ Rental At The Beach, Perfect For Transition Home!",33.8174909,-118.389228,"South Redondo, Redondo Beach, CA, USA",2,,118,,,,,,30,4,2,1,apartment,Yes,2012,Within a few hours,100%,"June 7, 2017",apartment,1,800,4,,Long Beach,CA
4035238ha,"Cozy House, 1 Mile To Disneyland, Accommodate 3 Families Or 11 Guests",33.820066,-117.933555,"Southwest Anaheim, Anaheim, CA, USA",47,4.8,209,239,,,199,15.0%,3,11,4,3,house,Yes,2015,Within an hour,100%,"June 8, 2017",house,,1800,11,,Long Beach,CA
776579,"Most Desire Vacation Home * 15 Minutes from The Beach, Disneyland, Shopping...",33.7488394,-117.9737542,"Westminster, CA, USA",13,4.5,198,199,249,,,,3,12,4,3,house,Yes,2015,Within a few hours,100%,"June 6, 2017",house,,2207,12,,Long Beach,CA
3589065ha,ATTENTION DECEMBER TRAVELERS- REMAINING DATES ONLY $200 PER NIGHT!!!!!!!,33.830218,-117.9712832,"Southwest Anaheim, Anaheim, CA, USA",76,4.7,225,225,,,175,15.0%,3,10,3,2,house,Yes,2013,Within a few days,60%,"June 8, 2017",house,,1350,10,,Long Beach,CA
657317,"Gooofy's Surfari,  Walk to Disneyland/Convention Ctr., Mickey swimming pool",33.7973049,-117.9235289,"Anaheim Resort, Anaheim, CA, USA",79,4.7,215,200,,,150,15.0%,3,9,3,2,townhome,Yes,2014,Within a few hours,100%,"June 4, 2017",townhome,,1400,9,house,Long Beach,CA
724427,Funtierland 7 + Across the Street from Disneyland + Pool + Netflix,33.81230127,-117.92903244,"Hermosa Village, Anaheim, CA, USA",45,4.8,208,175,,,175,15.0%,3,7,2,1,condo,Yes,2013,Within a few hours,100%,"June 8, 2017",condo,1,925,7,,Long Beach,CA
724435,Funtierland 16 + Pool/Hot Tub + FREE WiFi/Netflix + Ping Pong/Pool Table + Patio,33.840027,-117.933645,"Northwest Anaheim, Anaheim, CA, USA",35,4.8,541,399,,,250,15.0%,3,17,7,4,house,Yes,2013,Within 12 hours,90%,"June 8, 2017",house,,3000,17,,Long Beach,CA
563149,"Gorgeous Remodeled Home, Walk To Disneyland/Convention Cntr, Mickey Pool/Hot Tub",33.796794,-117.921038,"Anaheim Resort, Anaheim, CA, USA",65,4.8,210,190,,,160,15.0%,3,9,3,1,townhome,Yes,2013,Within an hour,100%,"June 8, 2017",townhome,1,1200,9,,Long Beach,CA
3967591ha,"Remodeled & Trendy Manhattan Beach Townhome w/New Furnishings, Wifi & Ocean Views - Outstanding Location! Walk to the Beach & Pier",33.878,-118.408,"Sand Section, Manhattan Beach, CA, USA",7,,241,,,,,,14,4,2,2,townhome,Yes,1999,Within an hour,,"June 9, 2017",townhome,,1200,4,,Long Beach,CA
875210,Grand Opening $145 JUNE / JULY STEAL near Disneyland & Anaheim Convention,33.79075024,-117.92412683,"Southwest Anaheim, Anaheim, CA, USA",24,4.8,249,275,,,150,,1,11,4,2,house,Yes,2016,Within an hour,100%,"June 8, 2017",house,,1400,11,,Long Beach,CA
439818,CLOSEST WALK TO DISNEY - POOLS & SPA - Elegantly Remodeled,33.8133057,-117.93045481,"Hermosa Village, Anaheim, CA, USA",76,4.8,209,189,,,150,15.0%,3,7,2,2,condo,Yes,2011,Within a day,90%,"June 4, 2017",condo,,,7,,Long Beach,CA
4064889ha,Grand Opening -Walk To Disney- Newly Remodeled,33.804785,-117.932507,"Hermosa Village, Anaheim, CA, USA",35,4.8,262,249,,,200,15.0%,3,11,4,2,house,Yes,2011,Within a day,90%,"June 8, 2017",house,,,11,,Long Beach,CA
3565526ha,Remaining June Dates Available for $325 Per Night,33.8275859,-117.951122,"Southwest Anaheim, Anaheim, CA, USA",129,4.9,350,250,,,175,15.0%,3,9,3,2,house,Yes,2012,Within an hour,100%,"June 8, 2017",house,,1950,9,,Long Beach,CA
555700,"StorybookVilla #2, Fresh, Inviting, & Warm. You Walk to Disney. Proven Brand",33.81331934,-117.92920013,"Hermosa Village, Anaheim, CA, USA",65,4.8,209,189,,,150,15.0%,3,7,2,1,townhome,Yes,2011,Within 12 hours,100%,"June 3, 2017",townhome,,1000,7,,Long Beach,CA
729001,"WOW Suite 3, Pool/Spa, Short Walk to Disneyland, 5 Star Review*",33.81299844,-117.92892119,"Hermosa Village, Anaheim, CA, USA",37,4.8,204,204,,,169,15.0%,3,7,2,2,condo,Yes,2014,Within an hour,100%,"June 9, 2017",condo,,1016,7,,Long Beach,CA
476504,Funtierland 2 + Walk to Disneyland + Mickey Mouse Pool + Nursery + Netflix,33.7969124,-117.922877,"Convention Center, Anaheim, CA, USA",79,4.9,223,199,,,185,15.0%,3,9,3,2,townhome,Yes,2013,Within a few hours,100%,"June 8, 2017",townhome,1,1400,9,,Long Beach,CA
762015,Funtierland 14 + Across the Street from Disneyland + Pool + Nursery + Netflix,33.813374,-117.92929938,"Hermosa Village, Anaheim, CA, USA",39,4.8,229,199,,,185,15.0%,3,9,3,2,condo,Yes,2013,Within 12 hours,100%,"June 9, 2017",condo,1,1300,,,Long Beach,CA
609571,Garden Oasis Getaway Close to the Beach,33.822873,-118.37551,"South Redondo, Redondo Beach, CA, USA",7,,83,,,,95,,30,5,1,1,bungalow,Yes,2014,Within an hour,90%,"May 17, 2017",bungalow,,640,5,,Long Beach,CA
562458,Sale on Open Dates Walk 2 Disney by Rear Entrance. 13 People. REG2014_00050 Pool,33.808836,-117.934612,"Hermosa Village, Anaheim, CA, USA",65,4.6,334,329,,,,15.0%,3,13,5,3,house,Yes,2014,Within a day,90%,"May 23, 2017",house,,2000,,,Long Beach,CA
496418,Funtierland 3 + Walk to Disneyland + Mickey Mouse Pool + Nursery + Netflix,33.7967495,-117.9218602,"Convention Center, Anaheim, CA, USA",64,,229,199,,,185,15.0%,3,9,3,2,condo,Yes,2013,Within 12 hours,100%,"June 8, 2017",condo,1,1400,9,,Long Beach,CA
874658,"***$120 p/night stays 9/5/17-10/31/17 Steps to the beach, 1st Floor, A/C!",33.6639486,-118.0086376,"Huntington Beach, CA, USA",19,4.8,137,160,,,160,10.0%,3,6,1,1,apartment,Yes,2016,Within an hour,100%,"June 8, 2017",apartment,1,550,6,building,Long Beach,CA
508174,Funtierland 4 + Across the Street from Disneyland + Nursery + Pool + Netflix,33.81264187,-117.92870661,"Hermosa Village, Anaheim, CA, USA",66,4.8,209,179,,,175,15.0%,3,7,2,2,condo,Yes,2013,Within 12 hours,100%,"June 8, 2017",condo,1,1000,7,,Long Beach,CA
838764,Huntington Beach Condo Sleeps 4,,,"Huntington Beach, CA, USA",4,,75,,,,,,30,4,1,1,condo,Yes,2016,Within a few hours,100%,"June 9, 2017",condo,2,800,4,building,Long Beach,CA
